Серия;Типоразмер;Материал;Цвет(RAL);Температура минимальная;Температура максимальная;IP;Крепление;8;9;10;Ширина;Длина;Глубина;Масса;Толщина стенки;Зона Сверловки AB Ш;Зона Сверловки БГ Ш;Внутренние размеры AB;Внутренние размеры БГ;Межосевое расстояние для DIN;Кол-во отверстий;Расстояния болтов вдоль АВ;Расстояния болтов вдоль БГ;Количество болтов;Внутренняя высота коробки;Маркировка взрывозащиты
ВА;606020;Алюминий;7042;-60;130;"66;67";;;;;600;600;202;13.23;6;33;22;594;594;;;560;582;6;192;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;80806;Пластик;9005;-60;130;"66;67";;;;;80;75;55;0.18;6;;;74;69;;;;;;45;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;110806;Пластик;9005;-60;130;"66;67";;;;;110;75;55;0.24;6;;;70;30;;;;;;36;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;121209;Пластик;9005;-60;130;"66;67";;;;;123;123;90;0.48;6;;;59;75;;;;;;65;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;221209;Пластик;9005;-60;130;"66;67";;;;;221;123;90;0.78;6;;;177;57;;;;;;65;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;161610;Пластик;9005;-60;130;"66;67";;;;;160;160;100;0.73;6;;;120;98;;;;;;75;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;261609;Пластик;9005;-60;130;"66;67";;;;;260;160;90;01.ноя;6;;;210;88;;;;;;75;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;361609;Пластик;9005;-60;130;"66;67";;;;;360;160;90;янв.48;6;;;354;154;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;561609;Пластик;9005;-60;130;"66;67";;;;;560;160;90;фев.23;6;;;554;154;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;262512;Пластик;9005;-60;130;"66;67";;;;;255;250;120;янв.74;6;;;212;176;;;;;;90;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;402512;Пластик;9005;-60;130;"66;67";;;;;400;250;120;фев.57;6;;;394;244;;;;;;110;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВП;402516;Пластик;9005;-60;130;"66;67";;;;;400;250;160;фев.84;6;;;394;244;;;;;;150;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;"
ВН;151509;Нержавейка;7042;-60;130;66;;;;;152.4;152.4;92.4;янв.27;01.май;;;150;150;;;;;;52.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;201510;Нержавейка;7042;-60;130;66;;;;;202.4;152.4;102.4;янв.59;01.май;;;200;150;;;;;;62.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;202010;Нержавейка;7042;-60;130;66;;;;;202.4;202.4;102.4;янв.91;01.май;;;200;200;;;;;;62.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;202012;Нержавейка;7042;-60;130;66;;;;;202.4;202.4;123.4;02.июл;01.май;;;200;200;;;;;;83.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;302012;Нержавейка;7042;-60;130;66;;;;;302.4;202.4;122.4;фев.71;01.май;;;300;200;;;;;;82.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;303012;Нержавейка;7042;-60;130;66;;;;;302.4;302.4;123.4;мар.57;01.май;;;300;300;;;;;;83.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;303015;Нержавейка;7042;-60;130;66;;;;;302.4;302.4;152.4;мар.90;01.май;;;300;300;;;;;;112.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;304015;Нержавейка;7042;-60;130;66;;;;;302.4;402.4;152.4;апр.79;01.май;;;300;400;;;;;;112.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;313121;Нержавейка;7042;-60;130;66;;;;;308.4;308.4;207.4;апр.64;01.май;;;306;306;;;;;;167.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;382621;Нержавейка;7042;-60;130;66;;;;;382.4;262.4;207.4;апр.86;01.май;;;380;260;;;;;;167.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;402012;Нержавейка;7042;-60;130;66;;;;;402.4;202.4;123.4;мар.38;01.май;;;400;200;;;;;;83.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;402015;Нержавейка;7042;-60;130;66;;;;;402.4;202.4;152.4;мар.71;01.май;;;400;200;;;;;;112.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;403012;Нержавейка;7042;-60;130;66;;;;;402.4;302.4;122.4;апр.40;01.май;;;400;300;;;;;;82.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;403016;Нержавейка;7042;-60;130;66;;;;;402.4;302.4;163.4;апр.94;01.май;;;400;300;;;;;;123.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;404020;Нержавейка;7042;-60;130;66;;;;;402.4;402.4;202.4;июн.64;01.май;;;400;400;;;;;;162.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;504016;Нержавейка;7042;-60;130;66;;;;;502.4;402.4;163.4;июл.18;01.май;;;500;400;;;;;;123.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВН;604020;Нержавейка;7042;-60;130;66;;;;;602.4;402.4;202.4;09.мар;01.май;;;600;400;;;;;;162.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;121209;Сталь;7042;-60;130;66;;;;;120;120;90;мар.91;4;;;116;116;;;;;;50;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;181009;Сталь;7042;-60;130;66;;;;;180;100;90;апр.51;4;;;176;96;;;;;;50;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;151512;Сталь;7042;-60;130;66;;;;;150;150;120;май.83;4;;;146;146;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;202012;Сталь;7042;-60;130;66;;;;;200;200;120;сен.84;4;;;196;196;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;302012;Сталь;7042;-60;130;66;;;;;300;200;120;13.мар;4;;;296;196;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;252512;Сталь;7042;-60;130;66;;;;;250;250;120;13.38;4;;;246;246;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;352512;Сталь;7042;-60;130;66;;;;;350;250;120;17.апр;4;;;346;246;;;;;;80;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;302020;Сталь;7042;-60;130;66;;;;;300;200;200;16.68;4;;;296;196;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;252520;Сталь;7042;-60;130;66;;;;;250;250;200;17.апр;4;;;246;246;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;382220;Сталь;7042;-60;130;66;;;;;380;220;200;21.00;4;;;376;216;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;352520;Сталь;7042;-60;130;66;;;;;350;250;200;21.44;4;;;346;246;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
ВС;353020;Сталь;7042;-60;130;66;;;;;350;300;200;24.24;4;;;346;296;;;;;;160;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;"
